email,course_id,sec_no,exam_no,grades
al4613@nittany.edu,EE320,1,1,86
am4447@nittany.edu,PHYS212,2,1,82
ak9804@nittany.edu,CMPEN411,2,1,76
as1233@nittany.edu,CMPSC360,1,1,94
al6759@nittany.edu,CMPSC360,1,1,91
ah2567@nittany.edu,CMPEN351,2,1,62
ab8825@nittany.edu,PHYS211,1,1,63
ak1365@nittany.edu,CMPSC465,2,1,65
at2037@nittany.edu,PHYS214,2,1,90
as3627@nittany.edu,CSE583,2,1,79
ab8389@nittany.edu,CMPEN441,2,1,92
at1813@nittany.edu,CMPEN431,1,1,76
ao8250@nittany.edu,PHYS212,2,1,88
al8826@nittany.edu,EE352,1,1,85
al5806@nittany.edu,CHEM111,1,1,75
aj1457@nittany.edu,STAT318,1,1,94
ar7586@nittany.edu,CSE543,2,1,82
am6718@nittany.edu,CMPSC461,1,1,76
az6923@nittany.edu,IST110,2,1,73
ab9912@nittany.edu,MATH140,2,1,64
ag4728@nittany.edu,DS220,1,1,90
am5109@nittany.edu,MATH140,2,1,80
ab3717@nittany.edu,CHEM110,1,1,69
ah5707@nittany.edu,IST128,1,1,84
ad9791@nittany.edu,EE311,1,1,61
aw2983@nittany.edu,PHYS213,2,1,60
lj2993@nittany.edu,MATH140,2,1,75
rb1832@nittany.edu,EE320,1,1,76
ld8122@nittany.edu,IST110,2,1,91
md5914@nittany.edu,CMPEN431,2,1,70
kf8268@nittany.edu,CMPEN362,2,1,89
pz6665@nittany.edu,CHEM112,1,1,79
mr6639@nittany.edu,STAT319,1,1,85
sc5452@nittany.edu,PHYS211,2,1,74
tp8468@nittany.edu,IST128,2,1,99
ih9335@nittany.edu,CMPEN331,2,1,100
me9525@nittany.edu,EE311,1,1,75
pr4075@nittany.edu,CMPSC461,1,1,69
nk8056@nittany.edu,EE211,1,1,63
jz5577@nittany.edu,CMPSC475,1,1,90
jp2632@nittany.edu,ECON101,1,1,92
lk7361@nittany.edu,MATH140,2,1,65
ks1880@nittany.edu,ECON101,1,1,78
ms2404@nittany.edu,STAT415,2,1,68
ih5431@nittany.edu,CMPSC431W,1,1,97
sm4115@nittany.edu,STAT318,1,1,89
js8078@nittany.edu,CMPSC475,2,1,76
mb4117@nittany.edu,DS120,2,1,85
mg1976@nittany.edu,PHYS214,1,1,86
kc4364@nittany.edu,EE211,1,1,64
rh2046@nittany.edu,DS120,2,1,69
jh2885@nittany.edu,EE352,2,1,99
ms9362@nittany.edu,ECON101,1,1,91
jl6447@nittany.edu,ECON102,2,1,87
mr2329@nittany.edu,PHYS213,2,1,63
ma5503@nittany.edu,CMPEN270,1,1,60
rb4971@nittany.edu,CMPEN351,1,1,98
jc5818@nittany.edu,PHYS211,1,1,68
kg2618@nittany.edu,EE352,2,1,68
lg4120@nittany.edu,CMPSC131,1,1,61
tp3946@nittany.edu,CMPEN441,2,1,80
sb5076@nittany.edu,IST128,1,1,68
