name,email,age,gender,office_addr,dept_id,title
Dr Nann Wood,nw51@nittany.edu,56,M,"256, Building 18",CSE,Head
Dr Norton Hughes,nh89@nittany.edu,48,F,"212, Building 18",CSE,Professor
Dr Russell Richardson,rr82@nittany.edu,53,M,"168, Building 7",CMPSC,Head
Dr Halsey Lopez,hl43@nittany.edu,52,F,"289, Building 7",CMPSC,Professor
Dr Dikembe Sanchez,ds51@nittany.edu,47,M,"232, Building 7",CMPSC,Professor
Dr Freowine Rogers,fr23@nittany.edu,47,M,"105, Building 7",CMPSC,Professor
Dr Deshawn Cox,dc80@nittany.edu,51,M,"187, Building 7",CMPSC,Professor
Dr Gil Bell,gb44@nittany.edu,52,M,"284, Building 7",CMPSC,Professor
Dr Sheldon Cook,sc45@nittany.edu,56,M,"253, Building 7",CMPSC,Professor
Dr Walker Campbell,wc77@nittany.edu,58,M,"126, Building 7",CMPSC,Professor
Dr Luca Torres,lt47@nittany.edu,57,F,"188, Building 7",CMPSC,Professor
Dr Royce Edwards,re79@nittany.edu,48,M,"261, Building 7",CMPSC,Professor
Dr Blas Butler,bb77@nittany.edu,44,F,"228, Building 7",CMPSC,Professor
Dr Jerred Martinez,jm33@nittany.edu,55,F,"239, Building 5",CMPEN,Head
Dr Wincent Peterson,wp45@nittany.edu,60,F,"160, Building 5",CMPEN,Professor
Dr Kofi Myers,km14@nittany.edu,46,M,"222, Building 5",CMPEN,Professor
Dr Derwent White,dw78@nittany.edu,59,F,"138, Building 5",CMPEN,Professor
Dr Beauregard Moore,bm79@nittany.edu,59,M,"107, Building 5",CMPEN,Professor
Dr Halliwell Phillips,hp75@nittany.edu,43,M,"124, Building 5",CMPEN,Professor
Dr Rich Collins,rc19@nittany.edu,49,M,"142, Building 5",CMPEN,Professor
Dr Ford Price,fp60@nittany.edu,56,F,"189, Building 5",CMPEN,Professor
Dr Merle Hill,mh50@nittany.edu,60,M,"180, Building 13",EE,Head
Dr Thatcher Jenkins,tj11@nittany.edu,52,M,"296, Building 13",EE,Professor
Dr Arlie Adams,aa18@nittany.edu,60,F,"131, Building 13",EE,Professor
Dr Aspen Brown,ab29@nittany.edu,49,F,"276, Building 13",EE,Professor
Dr Raimy Perez,rp45@nittany.edu,53,M,"152, Building 13",EE,Professor
Dr Cassidy Gomez,cg89@nittany.edu,44,F,"149, Building 13",EE,Professor
Dr Baldwin Roberts,br31@nittany.edu,42,F,"293, Building 13",EE,Professor
Dr Searles Williams,sw32@nittany.edu,53,F,"219, Building 13",EE,Professor
Dr Karol Hodgson,kh18@nittany.edu,46,M,"144, Building 13",EE,Professor
Dr Jackie Carpenter,jc66@nittany.edu,47,F,"181, Building 12",MATH,Head
Dr Casimiro Young,cy98@nittany.edu,41,F,"277, Building 12",MATH,Professor
Dr Virginia Hines,vh43@nittany.edu,45,F,"268, Building 12",MATH,Professor
Dr Bethel Hawkins,bh63@nittany.edu,44,M,"294, Building 12",MATH,Professor
Dr Addai Reyes,ar69@nittany.edu,48,F,"174, Building 8",PHYS,Head
Dr Erasmo Martin,em34@nittany.edu,50,F,"127, Building 8",PHYS,Professor
Dr Mikelle Parry,mp11@nittany.edu,41,M,"182, Building 8",PHYS,Professor
Dr Buddy Sutherland,bs39@nittany.edu,57,M,"175, Building 8",PHYS,Professor
Dr Adan Senior,as52@nittany.edu,57,F,"110, Building 14",STAT,Head
Dr Cavan Jacobs,cj88@nittany.edu,56,M,"156, Building 14",STAT,Professor
Dr Carlyle Peters,cp54@nittany.edu,42,M,"227, Building 14",STAT,Professor
Dr Roy Fuller,rf73@nittany.edu,41,M,"104, Building 14",STAT,Professor
Dr Lexis Gardner,lg14@nittany.edu,46,F,"206, Building 15",ECON,Head
Dr Welborn Mitchell,wm35@nittany.edu,55,M,"236, Building 15",ECON,Professor
Dr Kourtney Booth,kb76@nittany.edu,51,M,"224, Building 15",ECON,Professor
Dr Finch Foster,ff47@nittany.edu,50,F,"217, Building 3",CHEM,Head
Dr Royal Parsons,rp85@nittany.edu,44,M,"257, Building 3",CHEM,Professor
Dr Konnor Nicholson,kn67@nittany.edu,55,M,"170, Building 3",CHEM,Professor
Dr Rudd Sullivan,rs84@nittany.edu,53,M,"195, Building 10",IST,Head
Dr Radcliff Silva,rs62@nittany.edu,56,M,"274, Building 10",IST,Professor
Dr Mina Harding,mh33@nittany.edu,57,F,"184, Building 10",IST,Professor
Dr Jair Woods,jw68@nittany.edu,58,M,"213, Building 6",DS,Head
Dr Ralf Reed,rr63@nittany.edu,56,M,"270, Building 6",DS,Professor
Dr Marni Amor,ma43@nittany.edu,56,M,"216, Building 6",DS,Professor
