name,email,age,zipcode,gender,password,street,major
Alisa Lynch,al4613@nittany.edu,19,62901,F,ixg1libp,78 South Brewery Ave. ,CHEM
Alisha Murray,am4447@nittany.edu,21,46376,F,4eystjwe,639 Princeton Rd. ,CMPSC
Alice Kiehn,ak9804@nittany.edu,20,30529,M,p0ulbn26,8985 Cambridge Ave. ,PHYS
Anastasia Shields,as1233@nittany.edu,18,72571,F,06e84eor,55 Hall St. ,CSE
Alyce Leuschke Jr.,al5684@nittany.edu,21,80104,M,ev4n7hoh,232 W. Homewood Ave. ,PHYS
Althea Leuschke,al6759@nittany.edu,21,91042,F,oqt6byzj,608 North Addison St. ,PHYS
Alysa Hintz,ah2567@nittany.edu,20,52041,F,d797xc1r,7764 Union Avenue ,EE
Alisha Beier,ab8825@nittany.edu,21,33162,M,gr1wwq45,91 S. Gartner Street ,CSE
Anastacio Krajcik,ak1365@nittany.edu,18,86426,F,uy8t28xc,7195 North Canterbury Circle ,DS
Alfonso Torp,at2037@nittany.edu,18,80820,F,dfo34diu,963 Court Road ,PHYS
Alexis Schulist,as3627@nittany.edu,22,62943,M,l55ah9nv,9599 La Sierra St. ,CMPEN
Alicia Harber,ah3078@nittany.edu,22,62684,F,a1uqkqum,83 Corona Street ,MATH
Amiya Bogisich II,ab8389@nittany.edu,18,47360,M,h18e8b5s,361 E. Sierra Street ,MATH
Alfredo Trantow,at1813@nittany.edu,20,46121,F,wxl0jmfp,7450 West Manchester Street ,CMPSC
Alysson Okuneva,ao8250@nittany.edu,20,62824,F,o81zf7vv,863 Stillwater Road ,MATH
Anabel Littel,al8826@nittany.edu,22,30277,M,4n61e74y,798 North Euclid Drive ,EE
Alycia Berge,ab4479@nittany.edu,20,50244,F,frmyglmo,8687 N. Sleepy Hollow Court ,EE
Ali Ledner,al5806@nittany.edu,19,71602,F,ougfoqn0,608 North Addison St. ,STAT
Angela Jast Jr.,aj1457@nittany.edu,19,33847,M,nthuiyec,141 Gulf Rd. ,STAT
Amely Rohan,ar7586@nittany.edu,18,39834,F,5h880la6,18 Lakeview Street ,PHYS
Amaya Mosciski,am6718@nittany.edu,19,32927,F,wd5xogip,7764 Union Avenue ,CMPSC
Alexys Stanton,as4057@nittany.edu,21,61870,M,93fj0cwc,9659 Rosewood Drive ,EE
Allene Zulauf,az6923@nittany.edu,22,96058,M,mg8nk8d5,358 Marvon Ave. ,ECON
Alysa Bosco Sr.,ab9912@nittany.edu,19,62884,F,gjgm1fqt,7529 Old Sunset Road ,EE
Amie Pacocha,ap8429@nittany.edu,18,60932,M,uh69s5qo,608 North Addison St. ,ECON
Amara Gaylord,ag4728@nittany.edu,22,30078,F,h5rqfz6v,780 East Redwood Drive ,PHYS
Americo Mitchell,am5109@nittany.edu,19,62320,M,viq0h6xe,9498 Newport Ave. ,MATH
Alivia Brown DDS,ab3717@nittany.edu,21,33035,F,tr7phe04,780 East Redwood Drive ,CHEM
Alexane Hermann,ah5707@nittany.edu,21,60613,F,t4v6sg4w,88 Harrison Street ,ECON
Amaya Denesik,ad9791@nittany.edu,19,62530,F,pt2zj3ku,639 Princeton Rd. ,CHEM
Andre Will,aw2983@nittany.edu,22,51573,F,9gbzyxsk,8687 N. Sleepy Hollow Court ,CMPSC
Lenna Jewess Sr.,lj2993@nittany.edu,19,31216,F,p7yiphsy,7313 Stillwater Lane ,DS
Rosie Bruen,rb1832@nittany.edu,21,61252,M,mn60ih69,453 North Elm Dr. ,CSE
Lorenzo Dickens,ld8122@nittany.edu,19,50515,M,1vnxmx51,8131 Elizabeth Ave. ,CSE
Marjorie Dickinson,md5914@nittany.edu,19,32925,F,cjiicgr5,963 Court Road ,CMPEN
Keon Fadel,kf8268@nittany.edu,21,94601,M,m0bdut14,7764 Union Avenue ,CMPEN
Penelope Ziemann,pz6665@nittany.edu,22,85354,F,7j7rei4g,185 E. Trenton Street ,STAT
Maximilian Ruecker,mr6639@nittany.edu,21,34609,M,2mjlwhvc,308 Mammoth Dr. ,CSE
Samanta Collier,sc5452@nittany.edu,18,30523,M,p8ieksdz,7297 Applegate St. ,CSE
Tyree Pacocha,tp8468@nittany.edu,22,34210,M,od1asurx,7529 Old Sunset Road ,CHEM
Ima Hilll,ih9335@nittany.edu,22,80652,F,d5mus3og,9498 Newport Ave. ,CHEM
Miss Ellsworth Goyette,me9525@nittany.edu,20,52776,M,61ip5i1a,266 Second Street ,IST
Pasquale Ritchie,pr4075@nittany.edu,21,52571,M,09vhc6ga,232 W. Homewood Ave. ,IST
Nicolas Kunde,nk8056@nittany.edu,19,96132,F,1vpw660p,83 Corona Street ,CMPSC
Jaunita Zemlak,jz5577@nittany.edu,22,20390,M,9z5xs7i4,6 Andover Dr. ,CHEM
Jaunita Paucek,jp2632@nittany.edu,18,91106,F,6f4h1qhw,7297 Applegate St. ,CMPSC
Luisa Keebler,lk7361@nittany.edu,21,94947,F,i15k2z5c,251 West Sheffield Drive ,STAT
Karli Streich DDS,ks1880@nittany.edu,20,30339,M,a31lbs06,9236 El Dorado St. ,EE
Miss Stanton Hyatt,ms2404@nittany.edu,20,32164,F,xbodkb1p,63 Lake Forest Road ,PHYS
Isobel Hudson,ih5431@nittany.edu,20,81240,F,c6m8qq2y,9408 Anderson Court ,CMPSC
Shaun Marvin,sm4115@nittany.edu,20,72852,F,cyr5laao,8985 Cambridge Ave. ,STAT
Justina Schuster,js8078@nittany.edu,19,95337,M,juqc63zz,285 Dogwood Drive ,DS
Manuela Blick,mb4117@nittany.edu,18,50231,F,iqt9wnaq,963 Court Road ,STAT
Reina McLaughlin Jr.,rm8585@nittany.edu,18,86042,F,zibhv380,7313 Stillwater Lane ,DS
Miss Gennaro Torphy,mg1976@nittany.edu,18,46347,F,hhoz4znw,863 Stillwater Road ,EE
Kaleb Carter MD,kc4364@nittany.edu,20,80816,M,o19o3kra,639 Princeton Rd. ,CMPEN
Reva Hirthe,rh2046@nittany.edu,18,47469,F,cz4rv678,141 Gulf Rd. ,CSE
Jennie Haag,jh2885@nittany.edu,19,85251,M,e3gvatua,185 E. Trenton Street ,IST
Mikayla Senger,ms9362@nittany.edu,21,94107,F,t97xa8jr,7313 Stillwater Lane ,EE
Janis Leffler,jl6447@nittany.edu,20,91203,M,hza255xn,182 Spring Street ,MATH
Maverick Rempel,mr2329@nittany.edu,22,52737,F,u50mz2ki,7195 North Canterbury Circle ,MATH
Myrtice Armstrong,ma5503@nittany.edu,20,46324,F,ql6wokcz,7313 Stillwater Lane ,ECON
Roy Boehm,rb4971@nittany.edu,22,62358,F,6ch26zsv,91 S. Gartner Street ,CMPEN
Jackie Considine,jc5818@nittany.edu,19,50851,F,zrziiod8,91 S. Gartner Street ,CMPSC
Kristofer Gusikowski,kg2618@nittany.edu,21,92008,M,c6zw7xeq,9408 Anderson Court ,DS
Letitia Graham,lg4120@nittany.edu,19,61274,F,td7qer7k,3 North Linden Ave. ,STAT
Skye Graham,sg2123@nittany.edu,22,95425,F,885lnlgn,266 Second Street ,CMPEN
Thora Predovic Sr.,tp3946@nittany.edu,19,47434,F,3w4nls9b,285 Dogwood Drive ,CMPSC
Suzanne Botsford,sb5076@nittany.edu,19,85192,F,9yzoqecx,3 North Linden Ave. ,CMPEN
Mr. Hallie Crooks,mh2221@nittany.edu,18,30755,M,ldrwndyy,78 South Brewery Ave. ,ECON
Vilma Sauer,vs8351@nittany.edu,22,30113,M,zagzjbh5,120 Heritage Lane ,PHYS
Mrs. Marlee Ward,mm1324@nittany.edu,21,6066,M,5zsqvzsa,7195 North Canterbury Circle ,CMPSC
Theresa Glover,tg2289@nittany.edu,21,80615,M,mujxipgm,708 York Dr. ,STAT
Meredith Kuhlman DVM,mk4648@nittany.edu,22,62888,M,5tplvmde,336 Myrtle Street ,MATH
Santino Altenwerth,sa8884@nittany.edu,21,83616,F,h4hxgcq7,8378 West Pulaski Ave. ,MATH
Kiley Nienow PhD,kn1468@nittany.edu,20,92624,F,56evzicb,285 Dogwood Drive ,MATH
Joe Kirlin DDS,jk5833@nittany.edu,21,50654,M,8axiqzsa,87 Vermont St. ,CSE
Malvina DuBuque,md1699@nittany.edu,18,81332,F,7zez3zsk,88 Harrison Street ,ECON
Mrs. Chasity Schamberger,mc4814@nittany.edu,20,95231,M,7vx7covg,7450 West Manchester Street ,CMPSC
Lucius Lakin,ll2646@nittany.edu,20,32359,F,yt1zlei9,7130 Longfellow Dr. ,PHYS
Mariane Reilly,mr3369@nittany.edu,22,52569,M,1c8zbevj,453 North Elm Dr. ,IST
Tara Baumbach,tb7100@nittany.edu,19,46310,M,0m29rudy,963 Court Road ,CSE
Wilfred Moen,wm3293@nittany.edu,20,72383,M,vohtstyp,7529 Old Sunset Road ,PHYS
