email,ta_id
al6759@nittany.edu,24
ak1365@nittany.edu,25
at2037@nittany.edu,34
as4057@nittany.edu,3
ab9912@nittany.edu,9
ks1880@nittany.edu,15
rm8585@nittany.edu,3
sg2123@nittany.edu,15
tp3946@nittany.edu,33
mk4648@nittany.edu,26
sa8884@nittany.edu,2
mb4756@nittany.edu,27
km6173@nittany.edu,1
mr1462@nittany.edu,38
mc4696@nittany.edu,25
lg2530@nittany.edu,46
mm9659@nittany.edu,32
sv5358@nittany.edu,51
na8379@nittany.edu,21
mf8214@nittany.edu,15
nc8172@nittany.edu,1
mb3709@nittany.edu,25
rf1538@nittany.edu,2
oh8195@nittany.edu,12
jc2471@nittany.edu,17
ts1830@nittany.edu,1
kh1826@nittany.edu,1
kh5883@nittany.edu,15
mv1311@nittany.edu,11
mt3151@nittany.edu,51
mr9406@nittany.edu,26
jo5683@nittany.edu,2
wa5135@nittany.edu,44
mj5224@nittany.edu,2
mh8661@nittany.edu,21
lh6961@nittany.edu,6
sj7472@nittany.edu,21
jg5906@nittany.edu,15
pp2997@nittany.edu,2
pm3642@nittany.edu,21
kr9949@nittany.edu,43
lo3428@nittany.edu,15
wc1418@nittany.edu,42
mm2047@nittany.edu,51
rq8420@nittany.edu,46
rk8121@nittany.edu,24
me6698@nittany.edu,34
ml7288@nittany.edu,3
tp4444@nittany.edu,47
sr6321@nittany.edu,39
wo4044@nittany.edu,35
mc4662@nittany.edu,17
vh5298@nittany.edu,30
ml8317@nittany.edu,46
md1308@nittany.edu,45
sp1402@nittany.edu,42
mj8696@nittany.edu,34
mt7486@nittany.edu,5
js1332@nittany.edu,17
mp8748@nittany.edu,17
mj1770@nittany.edu,25
rl4225@nittany.edu,14
bk5477@nittany.edu,1
as5959@nittany.edu,35
am9248@nittany.edu,11
aw2413@nittany.edu,49
ch1256@nittany.edu,9
cd3328@nittany.edu,44
ac5862@nittany.edu,21
cf2840@nittany.edu,34
bm9506@nittany.edu,39
aa2256@nittany.edu,54
ar9287@nittany.edu,28
cb6121@nittany.edu,49
ag5931@nittany.edu,25
bf5148@nittany.edu,28
bb4001@nittany.edu,50
db6530@nittany.edu,47
ea7463@nittany.edu,23
eh3135@nittany.edu,15
ds7254@nittany.edu,13
dh7046@nittany.edu,12
hc6195@nittany.edu,31
ff4897@nittany.edu,2
eo6418@nittany.edu,17
dj4017@nittany.edu,43
fs3719@nittany.edu,47
fg4672@nittany.edu,32
hm5525@nittany.edu,31
em3990@nittany.edu,1
gp6880@nittany.edu,19
dw2632@nittany.edu,47
dh1318@nittany.edu,38
ej7700@nittany.edu,19
